Produto,CATEGORIAS,Qtde,Total Venda,Custo,Lucro,LUCRO/MENSAL,,,,,,,,PART %,PART ACC %,
"026674 - SOFÁ IBIZA 3LUG 2,90 ASS 0,80 COR:TERRA COTA",,"1,00","R$ 3.599,00","R$ 1.780,77","R$ 1.818,23","R$ 363,65",,,,,,,,"0,56%","0,56%",A
"25791 - SOFÁ HANOVER 2LIG 2B 2,10M COR:VELUDO CASTOR",,"1,00","R$ 2.585,65","R$ 1.338,89","R$ 1.246,76","R$ 249,35",,,,,,,,"0,39%","0,95%",A
"27400 - SOFÁ FENIX MOD 2LUG 2,60M COR:VELUDO CASTOR",,"1,00","R$ 3.449,00","R$ 1.711,62","R$ 1.737,38","R$ 347,48",,,,,,,,"0,54%","1,49%",A
"27401 - SOFÁ ARTHUR MOD 2 LUG 2,30M COR:VELUDO AZUL",,"1,00","R$ 3.223,19","R$ 1.567,00","R$ 1.656,19","R$ 331,24",,,,,,,,"0,51%","2,00%",A
AÉREO 1 PORTA BASC 80 CM FLORENÇA COR:ANGELIN,,"4,00","R$ 775,13","R$ 445,12","R$ 330,01","R$ 66,00",,,,,,,,"0,10%","2,10%",A
AÉREO 1 PORTA BASC 80 CM FLORENÇA COR:CANARY,,"2,00","R$ 391,00","R$ 222,56","R$ 168,44","R$ 33,69",,,,,,,,"0,05%","2,15%",A
"AEREO 1,20 VOLLARE BRANCO",,"1,00","R$ 406,62","R$ 205,28","R$ 201,34","R$ 40,27",,,,,,,,"0,06%","2,22%",A
"AEREO 1,60 M 1º LINHA JK COR:BRANCO",,"7,00","R$ 3.142,56","R$ 1.666,00","R$ 1.476,56","R$ 295,31",,,,,,,,"0,46%","2,67%",A
AÉREO 3 PORTAS 120CM FLORENÇA COR:ANGELIN,,"5,00","R$ 1.934,08","R$ 1.033,80","R$ 900,28","R$ 180,06",,,,,,,,"0,28%","2,95%",A
AÉREO 3 PORTAS 120CM FLORENÇA COR:CANARY,,"4,00","R$ 1.570,70","R$ 827,04","R$ 743,66","R$ 148,73",,,,,,,,"0,23%","3,18%",A
AÉREO 80CM GELADEIRA POP COR:FREIJO/BAUNILHA,,"3,00","R$ 437,24","R$ 225,60","R$ 211,64","R$ 42,33",,,,,,,,"0,07%","3,25%",A
AÉREO 80CM GELADEIRA POP COR:FREIJO/CHUMBO,,"6,00","R$ 856,57","R$ 451,20","R$ 405,37","R$ 81,07",,,,,,,,"0,13%","3,37%",A
AÉREO 80CM PARA GEL. VOLLARE COR:BRANCO,,"1,00","R$ 151,85","R$ 76,51","R$ 75,34","R$ 15,07",,,,,,,,"0,02%","3,40%",A
AÉREO INDEKES FIRENZI SALVADOS,SALVADOS,"1,00","R$ 362,67","R$ 226,12","R$ 136,55","R$ 27,31",,,,,,,,"0,04%","3,44%",A
AÉREO POP/VENEZA COR:BRANCO,,"3,00","R$ 846,79","R$ 480,00","R$ 366,79","R$ 73,36",,,,,,,,"0,11%","3,55%",A
AÉREO POP/VENEZA COR:FREIJO/BAUNILHA,,"13,00","R$ 3.815,60","R$ 2.080,00","R$ 1.735,60","R$ 347,12",,,,,,,,"0,54%","4,09%",A
AÉREO POP/VENEZA COR:FREIJO/CHUMBO,,"11,00","R$ 3.137,41","R$ 1.760,00","R$ 1.377,41","R$ 275,48",,,,,,,,"0,43%","4,52%",A
AÉREO POP/VENEZA COR:PRETO,,"2,00","R$ 598,00","R$ 320,00","R$ 278,00","R$ 55,60",,,,,,,,"0,09%","4,60%",A
AMERICA MODULO CRIADO MUDO COR:FREIJO/GRAFITE,,"2,00","R$ 791,76","R$ 468,80","R$ 322,96","R$ 64,59",,,,,,,,"0,10%","4,70%",A
AMERICA PONTE 1950MM 4 PTS COR:FREIJO/GRAFITE,,"2,00","R$ 1.462,53","R$ 700,80","R$ 761,73","R$ 152,35",,,,,,,,"0,24%","4,94%",A
APARADOR BUFFET OPALA COR:CINAMOMO/BRANCO,,"1,00","R$ 806,00","R$ 467,91","R$ 338,09","R$ 67,62",,,,,,,,"0,10%","5,04%",A
APARADOR BUFFET OPALA COR:CINAMOMO/OFF WHITE,,"1,00","R$ 813,35","R$ 467,91","R$ 345,44","R$ 69,09",,,,,,,,"0,11%","5,15%",A
APARADOR BUFFET QUARTZO COR:CINAMOMO/OFF WHITE,,"2,00","R$ 1.263,82","R$ 727,84","R$ 535,98","R$ 107,20",,,,,,,,"0,17%","5,32%",A
